state,year,vote,reg,close,edr,pcthsg,south,nonSouth
"sd",2000,64.8532,78.32898,15,0,87.01,0,1
"tn",1972,55.5102,71.24413,30,0,52.93,1,0
"tn",1980,59.34066,70.89356,29,0,58.2,1,0
"tn",1984,61.15702,75.78288,30,0,62.92,1,0
"tn",1988,53.18818,68.08847,29,0,67.33,1,0
"tn",1992,57.70636,67.90215,30,0,71.17,1,0
"tn",1996,58.52119,72.18182,30,0,75.09,1,0
"tn",2000,61.01861,72.22222,30,0,77.98,1,0
"tx",1972,57.63918,72.80795,30,0,60.93,1,0
"tx",1980,57.16088,68.20316,30,0,67.58,1,0
"tx",1984,61.23043,73.7213,30,0,73.43,1,0
"tx",1988,61.04852,74.25304,30,0,74.44,1,0
"tx",1992,64.42284,75.36746,30,0,76.67,1,0
"tx",1996,57.41115,76.29803,30,0,76.88,1,0
"tx",2000,61.86613,78.7341,30,0,76.75,1,0
"ut",1972,83.39921,85.34653,7,0,77.95,0,1
"ut",1980,75.75024,80.8666,7,0,82.12,0,1
"ut",1984,75.5102,81.29852,5,0,86.46,0,1
"ut",1988,75.44964,81.18182,5,0,87.35,0,1
"ut",1992,76.98784,83.09859,5,0,89.95,0,1
"ut",1996,58.16594,71.22683,7,0,88.98,0,1
"ut",2000,63.61923,73.5687,8,0,91.64,0,1
"vt",1972,63.50365,80.29197,17,0,46.43,0,1
"vt",1980,65.26238,79.12913,17,0,75.81,0,1
"vt",1984,65.79771,80.90717,17,0,78.01,0,1
"vt",1988,67.83813,82.36559,17,0,82.13,0,1
"vt",1992,75.87096,83.94256,17,0,83.79,0,1
"vt",1996,64.42953,78.15315,10,0,87,0,1
"vt",2000,72.02073,81.2987,10,0,86.07,0,1
"va",1972,53.91534,67.50941,30,0,60.83,1,0
"va",1980,58.75312,66.18017,31,0,69,1,0
"va",1984,61.32466,68.22542,31,0,71.6,1,0
"va",1988,62.80609,72.17742,31,0,76.41,1,0
"va",1992,65.36515,70.28613,31,0,80.08,1,0
"va",1996,62.79785,73.38522,29,0,82.42,1,0
"va",2000,68.8027,77.21843,29,0,87.75,1,0
"wa",1972,68.55019,76.72673,30,0,69.29,0,1
"wa",1980,68.49557,75,30,0,80.79,0,1
"wa",1984,70.24662,77.57235,30,0,83.25,0,1
"wa",1988,65.93776,72.81964,30,0,83.38,0,1
"wa",1992,72.41063,78.33801,30,0,89.31,0,1
"wa",1996,66.12284,77.61628,15,0,88.76,0,1
"wa",2000,70.04219,79.29562,15,0,88.91,0,1
"wv",1972,70.01255,85.28302,30,0,49.18,0,1
"wv",1980,60.41556,71.66666,30,0,60.36,0,1
"wv",1984,61.80317,73.4364,30,0,61.92,0,1
"wv",1988,55.29061,68.08188,30,0,64.84,0,1
"wv",1992,59.63303,68.27372,30,0,72.82,0,1
"wv",1996,53.60186,68.62745,30,0,74.51,0,1
"wv",2000,57.05575,69.85815,30,0,78.73,0,1
"wi",1972,72.58216,83.33334,13,0,66.24,0,1
"wi",1980,78.42254,92.05448,0,1,78.05,0,1
"wi",1984,75.16418,87.2366,0,1,79.4,0,1
"wi",1988,72.78226,88.35477,0,1,81.04,0,1
"wi",1992,79.54248,89.22356,0,1,85.01,0,1
"wi",1996,69.49152,84.91048,0,1,85.47,0,1
"wi",2000,75.60538,85.57169,0,1,86.04,0,1
"wy",1972,70,75.3138,30,0,75.83,0,1
"wy",1980,64.23462,68.97048,30,0,82.07,0,1
"wy",1984,68.50552,73.91742,30,0,85.14,0,1
"wy",1988,64.65817,70.5814,30,0,83.61,0,1
"wy",1992,67.34476,71.35135,30,0,86.7,0,1
"wy",1996,69.42446,74.57169,0,1,89.51,0,1
"wy",2000,69.22391,75.98566,0,1,87.66,0,1
